,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.017,0,0.017,0
1,1,1,0.001,0,0.001,0
2,2,2,0.002,5,0.002,0
3,3,3,0.001,10,0.001,0
4,4,4,0.001,15,0.001,0
5,5,5,0.001,20,0.001,0
6,6,6,0.001,25,0.001,0
7,7,7,0.001,30,0.001,0
8,8,8,0.002,35,0.002,0
9,9,9,0.006,40,0.006,0
10,10,10,0.008,45,0.008,0
11,11,11,0.001,50,0.001,0
12,12,12,0.001,55,0.001,0
13,13,13,0.003,60,0.003,0
14,14,14,0.001,65,0.001,0
15,15,15,0.001,70,0.001,0
16,16,16,0.001,75,0.001,0
17,17,17,0.003,80,0.003,0
18,18,18,0.013,85,0.013,0
19,19,19,0.006,90,0.006,0
20,20,20,0.001,95,0.001,0
21,21,21,0.018000000000000002,105,0.018000000000000002,0
22,22,22,0.019,105,0.019,0
23,23,23,0.015,110,0.015,0
24,24,24,0.004,115,0.004,0
25,25,25,0.004,120,0.004,0
26,26,26,0.006999999999999999,125,0.006999999999999999,0
27,27,27,0.001,130,0.001,0
28,28,28,0.009000000000000001,135,0.009000000000000001,0
29,29,29,0.001,140,0.001,0
30,30,30,0.002,145,0.002,0
31,31,31,0.001,150,0.001,0
32,32,32,0.006999999999999999,155,0.006999999999999999,0
33,33,33,0.006999999999999999,160,0.006999999999999999,0
34,34,34,0.001,170,0.001,0
35,35,35,0.001,170,0.001,0
36,36,36,0.001,175,0.001,0
37,37,37,0.001,180,0.001,0
38,38,38,0.006,185,0.006,0
39,39,39,0.001,190,0.001,0
40,40,40,0.001,195,0.001,0
41,41,41,0.001,200,0.001,0
42,42,42,0.012,205,0.012,0
43,43,43,0.001,210,0.001,0
44,44,44,0.008,215,0.008,0
45,45,45,0.001,225,0.001,0
46,46,46,0.001,230,0.001,0
47,47,47,0.001,230,0.001,0
48,48,48,0.003,235,0.003,0
49,49,49,0.001,245,0.001,0
50,50,50,0.001,245,0.001,0
